0: 12637689 times
1: 12634302 times
2: 12636901 times
3: 12638999 times
4: 12637540 times
5: 12631413 times
6: 12629808 times
7: 12640698 times
8: 12641879 times
9: 12643839 times
0	10236622	1023870	102293	10110	1054	111	9	3	0	0	0	0	0	0	0	0	0	0	0	
1	10233500	1023057	102566	10233	1030	91	8	0	0	0	0	0	0	0	0	0	0	0	0	
2	10235928	1023004	102365	10256	1026	117	8	0	0	0	0	0	0	0	0	0	0	0	0	
3	10235215	1024922	102616	10200	1035	109	8	1	0	0	0	0	0	0	0	0	0	0	0	
4	10233315	1024387	102429	10083	998	104	4	1	0	0	0	0	0	0	0	0	0	0	0	
5	10231161	1023146	101916	10389	974	113	10	1	0	0	0	0	0	0	0	0	0	0	0	
6	10231403	1023023	102378	10292	993	121	19	0	0	0	0	0	0	0	0	0	0	0	0	
7	10239686	1023021	102726	10252	1012	98	16	3	0	0	0	0	0	0	0	0	0	0	0	
8	10240372	1023948	102717	10244	1005	101	11	3	0	0	0	0	0	0	0	0	0	0	0	
9	10240071	1025065	102742	10112	1036	93	9	1	0	0	0	0	0	0	0	0	0	0	0	
