0: 621429 times
1: 620864 times
2: 621266 times
3: 619557 times
4: 622323 times
5: 619830 times
6: 620691 times
7: 619664 times
8: 619957 times
9: 621029 times
0	0	503586	50326	5042	525	55	5	1	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	502711	50373	5166	506	46	6	0	1	0	0	0	0	0	0	0	0	0	0	0	
2	0	503508	49987	5065	535	61	4	1	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	501482	50640	5038	476	53	8	1	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	504112	50141	5003	489	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0	502408	50104	4914	484	62	4	1	0	0	0	0	0	0	0	0	0	0	0	0	
6	0	503239	49868	5089	500	52	8	2	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	502141	49817	5031	491	53	8	1	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	502172	50502	4983	523	47	10	2	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	503246	50198	4950	520	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
