0: 41338227 times
1: 41333849 times
2: 41326468 times
3: 41327294 times
4: 41342087 times
5: 41330233 times
6: 41342824 times
7: 41320835 times
8: 41336211 times
9: 41331971 times
0	33482618	3348365	333750	33206	3333	316	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	33476218	3351768	335822	33510	3383	326	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	33474437	3346280	334445	33583	3304	336	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	33474345	3348639	335273	33509	3438	322	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	33485769	3349027	334563	33353	3315	319	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	33477712	3349458	334232	33462	3302	337	24	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	33490458	3348993	334242	33458	3471	306	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	33472495	3344444	335476	33052	3277	344	29	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	33480730	3348982	334373	33211	3384	350	33	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	33480635	3347668	334932	33706	3336	341	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
